日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20240930,2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20240930,2094,東証ＲＥＩＴインバースＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,209A,小野谷機工,PRO Market,3600,機械,8,機械,-,-
20240930,2107,東洋精糖,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2108,日本甜菜製糖,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2109,ＤＭ三井製糖ホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,210A,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-
20240930,2112,塩水港精糖,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2114,フジ日本精糖,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2117,ウェルネオシュガー,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,211A,カドス・コーポレーション,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20240930,2120,ＬＩＦＵＬＬ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2121,ＭＩＸＩ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2122,インタースペース,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2124,ジェイエイシーリクルートメント,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2127,日本Ｍ＆Ａセンターホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240930,212A,フィットイージー,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2130,メンバーズ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2134,北浜キャピタルパートナーズ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2136,ヒップ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2138,クルーズ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240930,2139,中広,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,213A,上場インデックスファンド日経半導体株,ETF・ETN,-,-,-,-,-,-
20240930,2146,ＵＴグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2148,アイティメディア,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2150,ケアネット,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2152,幼児活動研究会,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2153,Ｅ・Ｊホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2154,オープンアップグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2156,セーラー広告,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2157,コシダカホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2158,ＦＲＯＮＴＥＯ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,215A,タイミー,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2160,ジーエヌアイグループ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240930,2162,ｎｍｓ　ホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2163,アルトナー,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2164,地域新聞社,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2168,パソナグループ,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2169,ＣＤＳ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,216A,ライフクリエイト,PRO Market,6100,小売業,14,小売,-,-
20240930,2170,リンクアンドモチベーション,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20240930,2173,博展,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2175,エス・エム・エス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240930,2179,成学社,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,217A,サポート,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2180,サニーサイドアップグループ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2181,パーソルホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,4,TOPIX Mid400
20240930,2183,リニカル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2185,シイエム・シイ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2186,ソーバル,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,218A,Ｌｉｂｅｒａｗａｒｅ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20240930,2193,クックパッド,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2195,アミタホールディングス,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20240930,2196,エスクリ,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,2198,アイ・ケイ・ケイホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,7,TOPIX Small 2
20240930,219A,Ｈｅａｒｔｓｅｅｄ,グロース（内国株式）,3250,医薬品,5,医薬品,-,-
20240930,2201,森永製菓,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2204,中村屋,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2206,江崎グリコ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2207,名糖産業,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2208,ブルボン,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2209,井村屋グループ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240930,2211,不二家,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2212,山崎製パン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2215,第一屋製パン,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2216,カンロ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2217,モロゾフ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,221A,ＭＡＸＩＳ日経半導体株上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2220,亀田製菓,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2221,岩塚製菓,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2222,寿スピリッツ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2224,コモ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2226,湖池屋,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2229,カルビー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,222A,ＮＩＣＳ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240930,2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,ETF・ETN,-,-,-,-,-,-
20240930,2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,ETF・ETN,-,-,-,-,-,-
20240930,2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,ETF・ETN,-,-,-,-,-,-
20240930,2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍,ETF・ETN,-,-,-,-,-,-
20240930,223A,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2240,上場インデックスファンドＳ＆Ｐ５００先物インバース,ETF・ETN,-,-,-,-,-,-
20240930,2241,ＭＡＸＩＳ　ＮＹダウ上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2242,ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2243,グローバルＸ　半導体　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2244,グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2245,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2246,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20240930,2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース,ETF・ETN,-,-,-,-,-,-
20240930,224A,グローバルＸ　ウラニウムビジネス　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2251,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20240930,2252,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2253,グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2254,グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2255,ｉシェアーズ　米国債２０年超　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2256,ｉシェアーズ　米国総合債券　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20240930,2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20240930,2264,森永乳業,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2266,六甲バター,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2267,ヤクルト本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2268,Ｂ－Ｒ　サーティワン　アイスクリーム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2269,明治ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,226A,勝美ジャパン,PRO Market,3050,食料品,1,食品,-,-
20240930,2270,雪印メグミルク,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240930,227A,ＩＮＳＩＧＨＴ　ＬＡＢ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240930,2281,プリマハム,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240930,2282,日本ハム,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20240930,2286,林兼産業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2288,丸大食品,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,228A,オプロ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20240930,2291,福留ハム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2292,Ｓ　Ｆｏｏｄｓ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240930,2293,滝沢ハム,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20240930,2294,柿安本店,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20240930,2296,伊藤ハム米久ホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20240930,229A,アスミホールディングス,PRO Market,2050,建設業,3,建設・資材,-,-
20240930,2300,きょくとう,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
